J; eta
1.1790634494117196; 0.0031796750899690807
1.1733375716193193; 0.038009303852793996
1.1690410674193117; 0.06268014534759336
1.1647466590750115; 0.08880236691971222
1.1618879118902259; 0.10911994145576398
1.159031260561148; 0.13088889606913523
1.1547347563611403; 0.1555597375639346
1.1518843925991842; 0.18168283240926453
1.144699799234489; 0.20635192735764107
1.1432809049206327; 0.22376761501226516
1.137540356138281; 0.248437583233853
1.1332438519382735; 0.27310842472865215
1.1289515394496807; 0.3006820263780906
1.1217690419406925; 0.32680250140378675
1.1145886402874117; 0.35437435650680227
1.108854379072182; 0.383398464960349
1.1031075427227088; 0.40371429294997807
1.0988089426669938; 0.4269337543674576
1.0901761130085397; 0.44869921588798345
1.0844250849476516; 0.4661122837229732
1.077234204015834; 0.48642723843939084
1.0671720007649874; 0.5183514872279427
1.0570951265241892; 0.5401160754752571
1.0499021497366645; 0.5589796501143551
1.0383896143363518; 0.5865488853977366
1.0182211948648041; 0.6199184013511282
1.0095841734949356; 0.6387811027170149
0.9937248333576394; 0.6561880576395249
0.9807556782407387; 0.6750481391857774
0.967778139701009; 0.6881027004227515
0.9475908575280954; 0.7084097956802666
0.9216253011700988; 0.7272620177676167
0.8927695597917067; 0.7446611132312243
0.8595733012434539; 0.7562520685659194
0.836474875493072; 0.7605922364264961
0.8061562268309701; 0.7649280379210158
0.7844976539515176; 0.7663663189001646
0.736837895167044; 0.7619833606522303
0.6949522188562391; 0.7561525154198216
0.6530518715554829; 0.7401620096461758
0.6241584047743594; 0.7314362637180305
0.5923684654057184; 0.7169032509341839
0.559132385599026; 0.7009179847998064
0.5374549500182078; 0.6892938450830788
0.5215536927667652; 0.6776731984591967
0.49553574001608564; 0.6602409186135564
0.47096602355916456; 0.6457122721957669
0.44638792367941443; 0.6253781054686988
0.42904052598992065; 0.6123052054942857
0.40590856654822155; 0.5934232921177486
0.3914450663120012; 0.577449378535119
0.366860678865129; 0.5527610715760921
0.34372033600060076; 0.5280736378902766
0.32636874659969234; 0.5120979777612243
0.3061185887555595; 0.48886367069915115
0.29164880095221707; 0.4685356168845629
0.2742909239841868; 0.44820581652355174
0.2598232320365517; 0.429329142786283
0.2439114955065727; 0.4104515957758028
0.22655152268283502; 0.38867041533747215
0.2120817348794926; 0.3683423615228837
0.19761404293185758; 0.34946568778561493
0.18459249142227385; 0.3320412673988773
0.17156674820127554; 0.31171408685750013
0.1556466282484672; 0.28703101953774157
0.1397307000070735; 0.2652507123726221
0.12525672049231645; 0.24201989840339455
0.11078902854468142; 0.2231432246661258
0.09920523405031972; 0.20136553732064066
0.08617529911790672; 0.1781355966246243
0.07459150462354497; 0.15635790927913917
0.06590627857240788; 0.14183886886667496
0.04852744304730433; 0.10699526773246748
0.036933169274405986; 0.07796068000038447
0.026797611073802907; 0.059086626082749616
0.013765580285682533; 0.03440530530941399
0.0065160153940601595; 0.014081617860882467
0.0000010479278536590364; 0.002466647512874287
