J ; CT
1.0682701733367455; 0.05315976307674397
1.0257180586551378; 0.08963753829701915
0.9651342140992119; 0.1334423210816249
0.921862885120623; 0.18445735586286904
0.875706311615368; 0.2354819217108659
0.8064740724008423; 0.33018736647571245
0.7660911332009468; 0.4029951853816316
0.7257092424183937; 0.483070442684693
0.6766726664731859; 0.570441731585146
0.6449496545226578; 0.6722907108793805
0.6204376570541092; 0.7595809857124554
0.5843920204002953; 0.8977814535925219
0.556998972074451; 1.0141510130809142
0.5411400871425431; 1.0832440987208836
0.5209591017160209; 1.1923223921452584
0.4993370666521794; 1.3123066086987194
0.4834839480156557; 1.4213706055229682
0.4733950279284083; 1.4868109098308668
0.4488982325113265; 1.6794790414224936
0.43161192736755266; 1.8539547493543909
0.40856404471785884; 2.090222745795489
0.39272141025476065; 2.271961126591153
0.37687982420900484; 2.4609669457839574
0.36536505653590506; 2.6426910299794946
0.3524139571035279; 2.868024510091256
0.34377709503569626; 2.998866994440053
0.33730836003223413; 3.1587720840773525
0.3286788368858002; 3.34048663720614
0.32220695663031035; 3.478589411652016
0.3150158620778393; 3.6312294456588616
0.3107047699653212; 3.7475227566132503
0.30495315242415527; 3.878355709895297
0.30208468257497006; 3.994644255316311
0.29777463887979466; 4.118205004667841
0.29345725626322133; 4.190893685239381
0.2891472125680458; 4.31445443459091
0.2862797911362032; 4.438010418409066
0.2819707958583701; 4.568838606157737
0.279102326009185; 4.68512715157875
0.2747922823140095; 4.8086879009302805
0.2719280061341946; 4.95404619993986
0.2661826790970839; 5.1284837836047545
0.26187892590596357; 5.295649163339133
0.25757412429750065; 5.455547104676371
