J; CQ
1.1267068591751528; 0.12564114294646433
1.0863186778885447; 0.16211176986667652
1.0531425595012585; 0.1912911307228704
1.0271795524306366; 0.22044666391218914
0.9911202863513695; 0.26417043262941675
0.9521768241627793; 0.3151711708105376
0.9016965775368959; 0.3952797868472242
0.8627541637656484; 0.45354796342548553
0.8223712245657528; 0.5263557823314056
0.780548808354552; 0.620970681962123
0.7488221269433251; 0.6973836268663627
0.712770723994127; 0.7956131835621516
0.6853724335815699; 0.8756455510648351
0.660861484530364; 0.9702032642950522
0.6349079132158246; 1.0647657430586444
0.6089574871533134; 1.1811305370136607
0.585890732991454; 1.286584642306213
0.5642686979276126; 1.4065688588596759
0.5440898093357751; 1.5301820290783317
0.5275153795675849; 1.6392484086692685
0.5138240974913755; 1.7337703803991724
0.499414125326856; 1.846463330888616
0.4821231023050408; 1.9882355660333753
0.4677167996012202; 2.1263645509128155
0.45187101988609407; 2.2863006165170536
0.4410681275885781; 2.40261537237163
0.43242812026871885; 2.5116555415290027
0.41874732236593476; 2.6788518972303206
0.4057878355948172; 2.8460458701649496
0.39715097352698553; 2.976888354513747
0.3885172567111815; 3.1295331540539686
0.3798814430606923; 3.2676430767999065
0.3712445809928607; 3.3984855611487035
0.36549296345169474; 3.529318514430751
0.36045951179016783; 3.6383467697546856
0.3539844862826504; 3.7546472290091364
0.34391863137693884; 3.979971178054148
0.33960753926442083; 4.0962644890085365
0.3338569701405975; 4.234364880687725
0.3281064010167741; 4.372465272366912
0.32235897714497835; 4.5323679792375255
0.31516997942719244; 4.6995428900386536
0.3087033412584153; 4.873982856470237
0.3029611594733323; 5.070222755326556
0.2979360951505456; 5.237390517827623
0.29074709743275945; 5.404565428628752
0.28499967356096373; 5.564468135499364
0.28357487439245394; 5.688019353784144
